# Start logging at 2022-04-06 02:07:39 Tokyo Standard Time
[08:31:14]  haine_sense1: Australians are the ones who swear all the time yea
[08:31:19]  cosmicmikan: LOL
[08:31:20]  chef_zack: No cmon zetto you cant say that
[08:31:30]  chef_zack: aussies are WAY cooler than britbongers
[08:31:31]  haine_sense1: you should try pegging then
[08:31:36]  usausachu: Australians > British
[08:31:37]  cosmicmikan: yes, so thing about it
[08:31:40]  cosmicmikan: think
[08:31:46]  babsmcnh: Think about it zetto
[08:31:54]  babsmcnh: You’ve basically figured it out lol
[08:32:11]  haine_sense1: @Chef_Zack well.. I'm watching an Aussie stream atm too and he's my other favourite streamer so... I guess I agree?
[08:32:25]  babsmcnh: How would pegging help ur poop monkaHmm
[08:32:33]  haine_sense1: @babsmcnh I noticed lol
[08:32:53]  babsmcnh: Lol
[08:32:59]  cosmicmikan: oi vey
[08:33:09]  babsmcnh: he’s too innocent how cutec
[08:33:14]  haine_sense1: ikr
[08:33:15]  haine_sense1: lol
[08:33:33]  cosmicmikan: yiddish phrase
[08:33:55]  laurabraus: oi vey just means "oh man"
[08:34:10]  usausachu: It’s said by people of Jewish religion
[08:34:15]  laurabraus: ^
[08:34:39]  andrewangus: OiMinna gm
[08:34:45]  cosmicmikan: nini
[08:34:48]  babsmcnh: I did not know that
[08:34:55]  babsmcnh: ANDREWWW HYPERS
[08:35:00]  haine_sense1: @AndrewAngus ktrzetWave
[08:35:14]  babsmcnh: Zetto would you peg me
[08:35:19]  babsmcnh: ktrzetAyo
[08:35:19]  cosmicmikan: WAAH
[08:35:20]  andrewangus: 🤨
[08:35:23]  babsmcnh: Answer carefully
[08:35:33]  andrewangus: Pog
[08:35:45]  andrewangus: LUL
[08:35:49]  303devilfish: real homies peg eachother
[08:35:51]  andrewangus: i typed it in guras too :)
[08:36:03]  babsmcnh: Um delayed did this bitch just say yes OMEGALUL
[08:36:06]  andrewangus: not yet
[08:36:08]  babsmcnh: *im
[08:36:14]  babsmcnh: Ok good good
[08:36:18]  usausachu: I don’t think they can
[08:36:23]  usausachu: Cuz she’s on YouTube?
[08:36:28]  babsmcnh: Not blocked Clap
[08:36:40]  303devilfish: Sadge
[08:36:40]  andrewangus: LUL
[08:37:27]  babsmcnh: Bro I’d peg you if it was required
[08:37:39]  babsmcnh: But it’s never a requirement so luckily no pegging for you
[08:37:45]  andrewangus: ktrzetAY
[08:37:49]  andrewangus: ktrzetAyo
[08:37:57]  babsmcnh: Lol
[08:38:04]  usausachu: It’s if a lady had a pp
[08:38:06]  chef_zack: no
[08:38:15]  babsmcnh: Andrew I’m at 60K
[08:38:15]  chef_zack: you have the girl fuck your asshole with a strapon
[08:38:18]  chef_zack: thats pegging
[08:38:21]  usausachu: ^
[08:38:23]  chef_zack: SEX BatChest
[08:38:24]  babsmcnh: Yep
[08:38:25]  chef_zack: SEX BatChest
[08:38:26]  chef_zack: SEX BatChest
[08:38:26]  chef_zack: SEX BatChest
[08:38:30]  andrewangus: 60k what
[08:38:35]  andrewangus: catJAM
[08:38:36]  babsmcnh: SEX D:
[08:38:39]  303devilfish: catJAM
[08:38:41]  babsmcnh: PepePls
[08:39:00]  babsmcnh: I mean it CAN be a butt plug if the strap on is just stuck there
[08:39:07]  haine_sense1: point: actually having stuff in your asshole can feel nice
[08:39:09]  babsmcnh: It’s up to you lol
[08:39:27]  haine_sense1: and I can vouch for it loosening it
[08:39:47]  babsmcnh: Lmao haine
[08:40:05]  babsmcnh: Zetto just limiting his possibilities Sadge.
[08:40:11]  haine_sense1: but I wouldn't recommend it without some fingering first
[08:40:23]  babsmcnh: But yeah i don’t think I’d want to do it
[08:40:23]  haine_sense1: fingering feels surprisingly nice
[08:40:28]  kaeos: you guys are weird
[08:40:32]  babsmcnh: LOL next topic
[08:40:34]  babsmcnh: PLEASEEEEE
[08:40:45]  303devilfish: i'm the one that brought this up :)
[08:40:57]  babsmcnh: Ey kaeos you’re reading this cursed shit
[08:41:02]  kaeos: yes
[08:41:03]  babsmcnh: clintNerd
[08:41:17]  haine_sense1: I'm the one talking about how it feels having something in your ass
[08:41:17]  chef_zack: babs and haine are the main contributers to sex topics
[08:41:37]  babsmcnh: EY
[08:41:40]  babsmcnh: No….
[08:41:42]  chef_zack: you guys will discuss something on sex for like an hour mfs insane
[08:41:43]  babsmcnh: IM NOT WEIRD
[08:41:54]  haine_sense1: even though I have like very little experience
[08:42:03]  babsmcnh: I swear I’m not weird Sadge I just continue the weird
[08:42:23]  haine_sense1: question: is being weird really a problem?
[08:42:23]  babsmcnh: Next topic tho I’m reading to talk about other shit
[08:42:29]  kaeos: u are weird tho
[08:42:32]  kaeos: just not normally this brand of weird
[08:42:41]  babsmcnh: Stuff that isn’t about sex would be preferable
[08:42:45]  babsmcnh: I need to eat soon
[08:42:49]  usausachu: Zetto is weird though
[08:42:51]  haine_sense1: maybe this type of weird
[08:42:53]  babsmcnh: Thank you kaeos?
[08:42:54]  usausachu: Zetto makes me uncomfortable
[08:42:58]  babsmcnh: I think Pepega
[08:43:01]  kaeos: ur welcome!
[08:43:01]  laurabraus: sure
[08:43:03]  babsmcnh: LOL USAAA
[08:43:06]  kaeos: "funny"
[08:43:15]  usausachu: Streamer funny?
[08:43:24]  usausachu: yamiki3NOPERS
[08:43:31]  babsmcnh: No bitches?
[08:43:45]  babsmcnh: Am I funny
[08:43:48]  babsmcnh: monkaHmm
[08:44:02]  kaeos: yes :)
[08:44:21]  babsmcnh: Zetto if you say I’m funny I’ll say ur funny
[08:44:27]  babsmcnh: Follow for follow as they say
[08:44:41]  babsmcnh: Sweeet I’m funny I needa tell my mom PepePls
[08:44:45]  nightbot: peepoHug Hit the follow button if you enjoy the stream so you can come back for more! 配信が面白かったらフォローしてね！
[08:44:53]  babsmcnh: Finally proved her wrong
[08:44:58]  kaeos: follow me on fansly
[08:45:03]  usausachu: Am I funny? :)
[08:45:19]  usausachu: Oh trur
[08:45:23]  babsmcnh: Usa you are amazing
[08:45:28]  babsmcnh: Funny is included in that
[08:45:29]  usausachu: totsOWO
[08:45:40]  babsmcnh: You don’t gotta worry bout that
[08:46:13]  kaeos: atrioc
[08:46:16]  babsmcnh: I’m funny for 85% of the time and then I’m a dumbass for the next 20%
[08:46:17]  cosmicmikan: gotta do some shopping. smell you nerds later
[08:46:22]  kaeos: bye :)
[08:46:26]  kaeos: buy :)
[08:46:30]  laurabraus: bye mikan have fun shop till u drop
[08:46:30]  kaeos: LMAO get it
[08:46:33]  babsmcnh: Hehehe you get the joke
[08:46:37]  babsmcnh: Yes I’m hilarious
[08:46:44]  babsmcnh: Bye Mikan
[08:46:57]  babsmcnh: Also kaeos has never said an unfunny thing
[08:47:03]  babsmcnh: The proof is right there
[08:47:07]  kaeos: why are you so wholesome rn
[08:47:10]  kaeos: its unsettling
[08:47:28]  babsmcnh: LOL I CAN BE WHOLESEOM
[08:47:46]  babsmcnh: bro the first time I was nice to zetto he told me to stop being patronizing OMEGALUL
[08:48:16]  laurabraus: LOL
[08:48:29]  kaeos: are you dropping frames or is it my internet
[08:48:39]  babsmcnh: I need to be clearer with my compliments
[08:48:50]  babsmcnh: Kaeos you ARE funny HYPERS I mean it
[08:49:05]  kaeos: ty i appreciate it :)
[08:49:08]  usausachu: I think Zetto is funny though
[08:49:13]  babsmcnh: Np homie
