# Start logging at 2022-02-20 10:08:05 Tokyo Standard Time
[10:08:05] ktrZetto is live!
[10:08:05] 2022年2月20日
[12:07:41]  saltychildofthesea: throw him off the edge HYPERS
[12:08:22]  saltychildofthesea: Sadge lost against com player
[12:08:36]  saltychildofthesea: COPIUM
[12:08:44]  saltychildofthesea: real person COPIUM
[12:08:55]  saltychildofthesea: WAYTOODANK
[12:09:05]  saltychildofthesea: soccer moment WAYTOODANK
[12:09:50]  saltychildofthesea: bowling with 32 players 5Head
[12:09:58]  saltychildofthesea: nvm 16
[12:10:21]  saltychildofthesea: was a bit too ambitious with the math
[12:10:32]  saltychildofthesea: just bowl 4Head
[12:10:58]  laurabraus: go for a SPARE
[12:11:02]  laurabraus: dude
[12:11:08]  laurabraus: FOR REAL
[12:11:13]  saltychildofthesea: Sadge
[12:11:19]  laurabraus: WHEN HAS IT EVEN GONE PERFECTLY STRAIGHT
[12:12:42]  saltychildofthesea: SadCatW
[12:12:52]  saltychildofthesea: Pog
[12:13:03]  laurabraus: omfg
[12:13:32]  saltychildofthesea: online wii sports looks actually fun POGGIES
[12:14:46]  laurabraus: how are all these people already getting strikes
[12:14:49]  saltychildofthesea: they're probably using the wii sports guaranteed strike setup
[12:15:36]  laurabraus: ripppppppppppppp
[12:15:37]  saltychildofthesea: SadCatW
[12:16:31]  laurabraus: real tennis??
[12:17:11]  laurabraus: hell yeah you get em
[12:17:59]  robertzarmy: L
[12:18:03]  laurabraus: WOOOO
[12:18:24]  laurabraus: NICE save
[12:18:45]  laurabraus: you are so pumped
[12:19:27]  saltychildofthesea: POGGERS
[12:19:35]  saltychildofthesea: LETS GOO PogChamp
[12:19:36]  laurabraus: DAMNNN
[12:19:43]  robertzarmy: SO BAD
[12:19:45]  robertzarmy: OMEGALUL
[12:19:49]  chef_zack: OMEGALUL
[12:19:57]  saltychildofthesea: Sadge losing
[12:21:32]  laurabraus: EZ
[12:21:41]  laurabraus: i didnt know that was an emote
[12:21:44]  laurabraus: i meant easy
[12:21:57]  saltychildofthesea: EZ
[12:21:57]  laurabraus: WTF
[12:22:00]  robertzarmy: EZ
[12:22:08]  laurabraus: ez
[12:22:13]  laurabraus: WHY DIDNT THAT ONE WORK
[12:22:17]  saltychildofthesea: im tempted to open predictions
[12:22:32]  saltychildofthesea: Pog
[12:22:44]  robertzarmy: D:
[12:22:54]  saltychildofthesea: in nintendo switch sports obv*
[12:23:31]  saltychildofthesea: ktr "Swordmaster" Zetto
[12:23:34]  chef_zack: i just played a guy and we drawed 3 times
[12:24:02]  saltychildofthesea: did they do the tiny area thing?
[12:24:55]  saltychildofthesea: ROLLED PogChamp
[12:25:42]  saltychildofthesea: monkaS
[12:25:49]  saltychildofthesea: Sadge
[12:25:51]  robertzarmy: zetto deserved his loss for only blocking
[12:29:19]  saltychildofthesea: Pog it works
[12:29:58]  saltychildofthesea: HYPERS
[12:30:00]  chef_zack: tennis felt like wii tennis
[12:30:03]  chef_zack: so pretty good
[12:30:34]  chef_zack: LULW
[12:32:33]  chef_zack: damn
[12:32:50]  303devilfish: does it still say nice cock like it did on the wii?
[12:33:11]  chef_zack: Pog
[12:33:23]  saltychildofthesea: Sadge no nice cock
[12:33:45]  chef_zack: until tomorrow i suppose
[12:34:27]  chef_zack: challenger bowling players LULW
[12:35:46]  chef_zack: the new "miis" have grown on me
[12:36:01]  chef_zack: yeah
[12:40:49]  saltychildofthesea: but how
[12:41:37]  saltychildofthesea: i am cracked at bowling EZ
[12:42:03]  saltychildofthesea: i am winning Pog
[12:42:04]  pulsejp: Oh shit
[12:42:12]  pulsejp: I forgot to get this
[12:42:15]  pulsejp: monkaW
[12:43:00]  pulsejp: Fuuuuck I forgot to get it it looks fun
[12:43:44]  saltychildofthesea: you need prior wii sports knowledge 5Head
[12:45:16]  saltychildofthesea: you need to really curve the joy con
[12:47:52]  saltychildofthesea: i got 3rd in finals Pog
[12:48:18]  saltychildofthesea: and then the play test stopped Sadge
[12:48:37]  saltychildofthesea: Prayge salvageable
[12:49:42]  krystenxo: ktrzetChill
[12:49:57]  saltychildofthesea: that was fun HYPERS
[12:50:19]  krystenxo: how are you?
[12:51:05]  krystenxo: you're gonna pb i believe
[12:52:45]  saltychildofthesea: pb potential Prayge
[12:52:58]  saltychildofthesea: +1 min on lakitu skip
[12:53:00]  saltychildofthesea: Prayge
[12:54:12]  krystenxo: Cheer1000 YOU HAVE TO PB OR GIVE ME BACK THESE BITS IF YOU DON'T PepeLaugh
[12:54:47]  krystenxo: LMAO
[12:54:56]  saltychildofthesea: daphM yoink
[12:54:58]  krystenxo: im kidding, but gl dude i believe
[12:55:00]  krystenxo: <3
[12:55:13]  robertzarmy: i will give 500 bits in the form of a sub if someone gifts it to me
[12:55:31]  saltychildofthesea: 500 bits by proxy
